Function,Algorithm,Best,Mean,STD_sample_ddof1,Rank_by_Mean,MeanRank_23,FinalRank
F21,ALO,-10.153199679016488,-6.031436363911404,2.912400787837329,5.0,5.478260869565218,6.0
F21,SCA,-4.9264890168510105,-2.2309451678475587,1.7354795592875008,9.0,7.3478260869565215,9.0
F21,SSA,-10.153199679035163,-6.993157132561174,3.7008550768473802,4.0,4.6521739130434785,5.0
F21,AOA,-5.347101714548868,-3.5046383472674516,0.948245639177415,7.0,5.608695652173913,7.0
F21,RSA,-5.055197503564487,-5.05519613416837,4.394004701838154e-07,6.0,4.608695652173913,4.0
F21,SHO,-8.317904373054896,-3.0451790505203165,1.7018397092775113,8.0,6.130434782608695,8.0
F21,GJO,-10.150556542438737,-8.385308224927272,2.797282329947687,3.0,4.217391304347826,3.0
F22,SCHO,-10.402842392845315,-9.33642620256563,2.1534005958256275,3.0,2.869565217391304,1.0
F22,GWO,-10.40244261859603,-10.40108978793703,0.0008699716978879736,1.0,4.086956521739131,2.0
F22,ALO,-10.402940566807985,-6.02763707308083,3.028259890516301,5.0,5.478260869565218,6.0
F22,SCA,-5.170578856420226,-2.9756746889284806,1.7097516064371558,8.0,7.3478260869565215,9.0
F22,SSA,-10.402940566809823,-8.697866158115785,3.1698931102345695,4.0,4.6521739130434785,5.0
F22,AOA,-6.502448514588603,-3.9355582379498726,1.4410567183466707,7.0,5.608695652173913,7.0
F22,RSA,-5.087670126188913,-5.087667829718134,9.259345823247308e-07,6.0,4.608695652173913,4.0
F22,SHO,-4.873724140007227,-2.6034523910911513,1.196514345090874,9.0,6.130434782608695,8.0
F22,GJO,-10.40040471540939,-10.0391907297611,1.3415713429436795,2.0,4.217391304347826,3.0
F23,SCHO,-10.53626654051532,-9.125356316648064,2.641466483708876,3.0,2.869565217391304,1.0
F23,GWO,-10.535983397845063,-10.53452647265656,0.0012647829458336272,1.0,4.086956521739131,2.0
F23,ALO,-10.536409816657256,-6.840821555492652,3.6350593810682876,5.0,5.478260869565218,6.0
F23,SCA,-6.556187462935399,-3.9833114583979152,1.3693517898628944,8.0,7.3478260869565215,9.0
F23,SSA,-10.536409816688503,-8.98856281084138,3.1495143576536164,4.0,4.6521739130434785,5.0
F23,AOA,-6.843839439572793,-3.9865786365066973,1.324552602461855,7.0,5.608695652173913,7.0
F23,RSA,-5.1284788032863045,-5.128473680886888,2.0366748777947153e-06,6.0,4.608695652173913,4.0
F23,SHO,-4.855265113618294,-2.780659805612452,1.188774497666529,9.0,6.130434782608695,8.0
F23,GJO,-10.533634896269852,-9.842883510855026,2.102797422725625,2.0,4.217391304347826,3.0
