Variant,Function,SCHO_Average,Variant_Average,Comparison,SCHO_Credit,Variant_Credit,AbsoluteMeanDifference
V11,F13,1.349836846029414,1.3498380134538794,SCHO,1,0,1.1674244655424104e-06
V11,F14,3.53865122915854,3.5386512291785053,TIE,1,1,1.9965362696439115e-11
V11,F15,0.000327086928171355,0.00032707907811778836,V11,0,1,7.850053566655236e-09
V11,F16,-1.0316284300630985,-1.0316284300630985,TIE,1,1,0.0
V11,F17,0.3978903317325324,0.3978903317325324,TIE,1,1,0.0
V11,F18,7.5819672299431655,7.581967229943177,TIE,1,1,1.1546319456101628e-14
V11,F19,-3.8618902001976454,-3.861890200197645,TIE,1,1,4.440892098500626e-16
V11,F20,-3.268115527450003,-3.268115527449858,TIE,1,1,1.4521717162097048e-13
V11,F21,-8.796057576788064,-8.796057576788346,TIE,1,1,2.824407374646398e-13
V11,F22,-9.33642620256563,-9.33642620256563,TIE,1,1,0.0
V11,F23,-9.125356316648064,-9.125504277836939,V11,0,1,0.00014796118887439036
