Function,Family,Algorithm,Run,Seed,Population,MaxIter,Dimension,Optimum,BestScore,Error,Curve0,CurveLast,Status
F23,composition,SCHO,26,1025,30,500,10,2300.0,2500.0,200.0,2874.7546817202683,2500.0,PASS
F23,composition,SCHO,27,1026,30,500,10,2300.0,2500.0,200.0,3495.943024581041,2500.0,PASS
F23,composition,SCHO,28,1027,30,500,10,2300.0,2500.0,200.0,2987.6038496829347,2500.0,PASS
F23,composition,SCHO,29,1028,30,500,10,2300.0,2500.0,200.0,3268.2390867764416,2500.0,PASS
F23,composition,SCHO,30,1029,30,500,10,2300.0,2500.0,200.0,3206.5114041097368,2500.0,PASS
F27,composition,GWO,1,1000,30,500,10,2700.0,3049.7122366188305,349.7122366188305,3335.205785364481,3049.7122366188305,PASS
F27,composition,GWO,2,1001,30,500,10,2700.0,3100.3484599497624,400.3484599497624,3312.2105026553045,3100.3484599497624,PASS
F27,composition,GWO,3,1002,30,500,10,2700.0,3024.0837240475585,324.08372404755846,3351.2871234505124,3024.0837240475585,PASS
F27,composition,GWO,4,1003,30,500,10,2700.0,3055.9499959407117,355.9499959407117,3531.6667977872085,3055.9499959407117,PASS
F27,composition,GWO,5,1004,30,500,10,2700.0,3103.389248136486,403.389248136486,3396.8166004912205,3103.389248136486,PASS
F27,composition,GWO,6,1005,30,500,10,2700.0,3106.6895381205363,406.6895381205363,3397.9523988585383,3106.6895381205363,PASS
F27,composition,GWO,7,1006,30,500,10,2700.0,3044.45705269477,344.45705269477,3343.1311063550424,3044.45705269477,PASS
F27,composition,GWO,8,1007,30,500,10,2700.0,3029.8051643926196,329.80516439261964,3522.2736037990385,3029.8051643926196,PASS
F27,composition,GWO,9,1008,30,500,10,2700.0,3033.9491941157103,333.94919411571027,3547.5433353050457,3033.9491941157103,PASS
F27,composition,GWO,10,1009,30,500,10,2700.0,3077.28724192754,377.28724192754,3589.0017227768626,3077.28724192754,PASS
F27,composition,GWO,11,1010,30,500,10,2700.0,3101.4209502312615,401.4209502312615,3309.82132203734,3101.4209502312615,PASS
F27,composition,GWO,12,1011,30,500,10,2700.0,3029.7554962443787,329.7554962443787,3547.957183503619,3029.7554962443787,PASS
F27,composition,GWO,13,1012,30,500,10,2700.0,3047.839778479989,347.83977847998904,3435.614054039332,3047.839778479989,PASS
F27,composition,GWO,14,1013,30,500,10,2700.0,3072.6039028649225,372.6039028649225,3417.7122451597534,3072.6039028649225,PASS
F27,composition,GWO,15,1014,30,500,10,2700.0,3033.1586580599505,333.15865805995054,3384.4125629631235,3033.1586580599505,PASS
F27,composition,GWO,16,1015,30,500,10,2700.0,3065.2827306905956,365.2827306905956,3450.4210002887276,3065.2827306905956,PASS
F27,composition,GWO,17,1016,30,500,10,2700.0,3058.9717996895274,358.9717996895274,3443.941526322933,3058.9717996895274,PASS
F27,composition,GWO,18,1017,30,500,10,2700.0,3039.8727646568764,339.87276465687637,3446.525684940755,3039.8727646568764,PASS
F27,composition,GWO,19,1018,30,500,10,2700.0,3060.416720812015,360.4167208120148,3382.1307129149895,3060.416720812015,PASS
F27,composition,GWO,20,1019,30,500,10,2700.0,3023.2655114933377,323.2655114933377,3420.647577260571,3023.2655114933377,PASS
F27,composition,GWO,21,1020,30,500,10,2700.0,3154.3922591855203,454.3922591855203,3605.66076430067,3154.3922591855203,PASS
