Variant,Function,Runs,Population,MaxIter,Dimension,Optimum,Best,Average,STD_sample_ddof1,STD_population_ddof0,Median,Worst
SCHO,F22,30,30,500,4,-10.4028,-10.402842392845315,-9.33642620256563,2.1534005958256275,2.1172064114217655,-10.395847233756049,-5.087660083802324
SCHO,F23,30,30,500,4,-10.5363,-10.53626654051532,-9.125356316648064,2.641466483708876,2.597068927028845,-10.531793950747328,-2.869743421841286
SCHO_NT,F1,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NT,F2,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NT,F3,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NT,F4,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NT,F5,30,30,500,30,0.0,26.056079496446586,28.25460761686448,0.7032638161359751,0.691443414351406,28.64996281544036,28.980294438009395
SCHO_NT,F6,30,30,500,30,0.0,1.0279552726750343,2.2850356893260604,0.6465976325199091,0.6357296714020877,2.290101488683145,3.783883507106924
SCHO_NT,F7,30,30,500,30,0.0,4.9591094465339935e-06,0.0001154154565202693,0.00011387453918578344,0.0001119605450696005,7.908190161015627e-05,0.00057313278933524
SCHO_NT,F8,30,30,500,30,-12569.487,-7068.720786071385,-5468.7912280903665,642.0551765066983,631.263564625014,-5450.770330521203,-4098.901904184803
SCHO_NT,F9,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NT,F10,30,30,500,30,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16
SCHO_NT,F11,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NT,F12,30,30,500,30,0.0,0.06751342464760095,0.396071293807566,0.39629241394679077,0.3896315628557087,0.26491890765561765,1.602113482030724
SCHO_NT,F13,30,30,500,30,0.0,1.5908675725022805,2.031519195592769,0.32301953643979026,0.3175902499936846,2.0063435440077084,2.9002158752925165
SCHO_NT,F14,30,30,500,2,1.0,0.9980038378230542,6.14269839242738,4.861883434597054,4.780165287995343,2.982105156824108,12.670505811135914
SCHO_NT,F15,30,30,500,4,0.0003,0.0003077648582130732,0.0007653522047186616,0.000511329337730717,0.000502734955256408,0.0006740575217363989,0.0025487954956163812
SCHO_NT,F16,30,30,500,2,-1.0316,-1.0316284528078135,-1.0316284300630985,2.4104000853274904e-08,2.3698862741283347e-08,-1.0316284384435512,-1.0316283570820304
SCHO_NT,F17,30,30,500,2,0.397887,0.39788743113709835,0.39789035274202955,2.959685631071994e-06,2.909939472500226e-06,0.39788944539483406,0.39789845819345615
SCHO_NT,F18,30,30,500,2,3.0,3.0000000138307645,7.581967229943165,15.585037851471096,15.323085785965587,3.000002359612611,84.00012105996721
SCHO_NT,F19,30,30,500,3,-3.8628,-3.8627797611179417,-3.8618902001976454,0.0023684505685034494,0.0023286418414166163,-3.8627731630460733,-3.8549007510179267
SCHO_NT,F20,30,30,500,6,-3.322,-3.3221333126080093,-3.268115527450003,0.07706500785902956,0.07576970539141537,-3.321617941744566,-3.0768526050382383
SCHO_NT,F21,30,30,500,4,-10.1532,-10.140503314806917,-5.796103234466854,3.2540599295721098,3.1993659514147406,-5.063146105726724,-2.6260714046999176
SCHO_NT,F22,30,30,500,4,-10.4028,-10.395708509890003,-5.886024807423391,3.3283085394497287,3.272366596616001,-4.405326084441194,-1.8374286530409
SCHO_NT,F23,30,30,500,4,-10.5363,-10.529461984837505,-5.1330838188507375,3.376005736556727,3.319262103061733,-3.827641159764106,-2.230149087611284
SCHO_NSTF,F1,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSTF,F2,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSTF,F3,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSTF,F4,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO_NSTF,F5,30,30,500,30,0.0,27.176759048170275,28.771710155138077,0.42882372715452194,0.4216160923616879,28.990109787925363,28.994913374237818
