Function,Dimension,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
F4,100,15,1014,8000415,30,500,-100.0,100.0,0.0,6.523092862203762e-255,97.0250800330237,6.523092862203762e-255,7.07794639999338,PASS
F4,100,17,1016,8000417,30,500,-100.0,100.0,0.0,1.3581597405376323e-257,92.98228949731282,1.3581597405376323e-257,7.214293999990332,PASS
F4,100,19,1018,8000419,30,500,-100.0,100.0,0.0,0.0,95.5170993358703,0.0,7.5764137000078335,PASS
F4,100,21,1020,8000421,30,500,-100.0,100.0,0.0,1.3486937556109304e-264,97.67070873275436,1.3486937556109304e-264,7.5587890000024345,PASS
F4,100,20,1019,8000420,30,500,-100.0,100.0,0.0,1.0634902101938411e-255,95.46717449439916,1.0634902101938411e-255,7.677259199990658,PASS
F4,100,22,1021,8000422,30,500,-100.0,100.0,0.0,0.0,96.45586987275034,0.0,7.6065434999909485,PASS
F4,100,24,1023,8000424,30,500,-100.0,100.0,0.0,0.0,96.95168557268627,0.0,6.930545499999425,PASS
F4,100,26,1025,8000426,30,500,-100.0,100.0,0.0,1.742866188293538e-288,97.73453678960988,1.742866188293538e-288,7.108322000000044,PASS
F4,100,25,1024,8000425,30,500,-100.0,100.0,0.0,0.0,92.9664107904681,0.0,7.214469600003213,PASS
F4,100,23,1022,8000423,30,500,-100.0,100.0,0.0,0.0,97.52837792693119,0.0,7.390119599993341,PASS
F4,100,27,1026,8000427,30,500,-100.0,100.0,0.0,7.074037932833228e-272,95.49002603980938,7.074037932833228e-272,9.301795400009723,PASS
F4,100,28,1027,8000428,30,500,-100.0,100.0,0.0,0.0,98.16914613608434,0.0,9.187383500000578,PASS
F4,100,29,1028,8000429,30,500,-100.0,100.0,0.0,7.533084031950253e-267,92.6233993127193,7.533084031950253e-267,9.304345199998352,PASS
F4,100,30,1029,8000430,30,500,-100.0,100.0,0.0,6.615983876387726e-275,97.15999327201705,6.615983876387726e-275,9.260720000005676,PASS
F5,100,1,1000,8000501,30,500,-30.0,30.0,0.0,98.77213347119023,1083625460.7899296,98.77213347119023,7.150228700003936,PASS
F5,100,3,1002,8000503,30,500,-30.0,30.0,0.0,98.98018638776692,1188719232.2815437,98.98018638776692,7.220886099996278,PASS
F5,100,4,1003,8000504,30,500,-30.0,30.0,0.0,98.7709304055945,1211323266.6668923,98.7709304055945,7.576418199998443,PASS
F5,100,2,1001,8000502,30,500,-30.0,30.0,0.0,98.94495537529622,1276732912.8779848,98.94495537529622,7.7360936000040965,PASS
F5,100,5,1004,8000505,30,500,-30.0,30.0,0.0,98.771114035665,1119461286.5589285,98.771114035665,8.663151200002176,PASS
F5,100,6,1005,8000506,30,500,-30.0,30.0,0.0,98.97397170751138,1193732370.5770328,98.97397170751138,8.729174199994304,PASS
F5,100,7,1006,8000507,30,500,-30.0,30.0,0.0,98.77114996534316,1304792421.7418387,98.77114996534316,8.68614959999104,PASS
F5,100,8,1007,8000508,30,500,-30.0,30.0,0.0,98.93859483465103,1078207675.3712745,98.93859483465103,8.790986899999552,PASS
F5,100,9,1008,8000509,30,500,-30.0,30.0,0.0,98.97985552092442,1158267668.0783296,98.97985552092442,6.295573000010336,PASS
F5,100,11,1010,8000511,30,500,-30.0,30.0,0.0,98.94612795332931,1181779799.125203,98.94612795332931,6.304024600001867,PASS
F5,100,10,1009,8000510,30,500,-30.0,30.0,0.0,98.7711739086447,1296046221.406335,98.7711739086447,6.322338099998888,PASS
F5,100,12,1011,8000512,30,500,-30.0,30.0,0.0,98.97545867424155,1124329019.0454128,98.97545867424155,6.560379200003808,PASS
F5,100,13,1012,8000513,30,500,-30.0,30.0,0.0,98.9564129621773,1151905516.830713,98.9564129621773,7.678349099995103,PASS
F5,100,16,1015,8000516,30,500,-30.0,30.0,0.0,98.95384681183405,1074514701.3211958,98.95384681183405,7.703343999994104,PASS
F5,100,14,1013,8000514,30,500,-30.0,30.0,0.0,98.95016275302358,1106569232.412709,98.95016275302358,7.993142999999691,PASS
F5,100,15,1014,8000515,30,500,-30.0,30.0,0.0,98.92063242068346,1283572649.5764606,98.92063242068346,8.000581100001,PASS
F5,100,19,1018,8000519,30,500,-30.0,30.0,0.0,98.7714056465579,1104769719.6146748,98.7714056465579,6.382556500000646,PASS
F5,100,20,1019,8000520,30,500,-30.0,30.0,0.0,98.97419321424282,1232325786.1546779,98.97419321424282,6.4722910999989836,PASS
F5,100,18,1017,8000518,30,500,-30.0,30.0,0.0,98.77193631723401,1131823807.880833,98.77193631723401,6.541018700008863,PASS
F5,100,17,1016,8000517,30,500,-30.0,30.0,0.0,98.9706526505497,1062952084.5438147,98.9706526505497,6.666284100007033,PASS
F5,100,21,1020,8000521,30,500,-30.0,30.0,0.0,98.97526861082626,1097717275.7520316,98.97526861082626,7.345056100006332,PASS
F5,100,22,1021,8000522,30,500,-30.0,30.0,0.0,98.96977276719421,1258179175.9089868,98.96977276719421,7.35109999999986,PASS
F5,100,23,1022,8000523,30,500,-30.0,30.0,0.0,98.97854561459785,1256102176.502064,98.97854561459785,7.315756399999373,PASS
F5,100,24,1023,8000524,30,500,-30.0,30.0,0.0,98.9599658970039,1048096659.0000888,98.9599658970039,7.315465799998492,PASS
F5,100,28,1027,8000528,30,500,-30.0,30.0,0.0,98.77114669272144,1098823921.0065548,98.77114669272144,7.633412099996349,PASS
F5,100,26,1025,8000526,30,500,-30.0,30.0,0.0,98.96158404966774,1223618185.9708228,98.96158404966774,7.82539940001152,PASS
F5,100,25,1024,8000525,30,500,-30.0,30.0,0.0,98.771638425743,978102192.2450457,98.771638425743,7.836155800003326,PASS
