Function,Family,Algorithm,Run,Seed,Population,MaxIter,Dimension,Optimum,BestScore,Error,Curve0,CurveLast,Status
F3,unimodal,SCHO,19,1018,30,500,10,300.0,18316.489772025234,18016.489772025234,3561308.136088002,18316.489772025234,PASS
F3,unimodal,SCHO,20,1019,30,500,10,300.0,12094.000672697846,11794.000672697846,11425377.29215623,12094.000672697846,PASS
F3,unimodal,SCHO,21,1020,30,500,10,300.0,11298.729693154079,10998.729693154079,150883.9816209006,11298.729693154079,PASS
F3,unimodal,SCHO,22,1021,30,500,10,300.0,7287.441744421603,6987.441744421603,1679140.8485979144,7287.441744421603,PASS
F3,unimodal,SCHO,23,1022,30,500,10,300.0,17963.80004076823,17663.80004076823,3258158.4846421727,17963.80004076823,PASS
F3,unimodal,SCHO,24,1023,30,500,10,300.0,4248.1358110307065,3948.1358110307065,13521794.310966732,4248.1358110307065,PASS
F3,unimodal,SCHO,25,1024,30,500,10,300.0,16439.737448039436,16139.737448039436,25213182.39396665,16439.737448039436,PASS
F3,unimodal,SCHO,26,1025,30,500,10,300.0,18947.935045406462,18647.935045406462,162052.38509809697,18947.935045406462,PASS
F3,unimodal,SCHO,27,1026,30,500,10,300.0,6644.233207142309,6344.233207142309,366345.58137362753,6644.233207142309,PASS
F3,unimodal,SCHO,28,1027,30,500,10,300.0,11995.060886092224,11695.060886092224,1917886.951097733,11995.060886092224,PASS
F3,unimodal,SCHO,29,1028,30,500,10,300.0,17443.81840926023,17143.81840926023,5602007.956900233,17443.81840926023,PASS
F3,unimodal,SCHO,30,1029,30,500,10,300.0,15886.346039703687,15586.346039703687,34992498.77040547,15886.346039703687,PASS
F4,simple_multimodal,GWO,1,1000,30,500,10,400.0,418.9814039192273,18.98140391922732,5972.540477920869,418.9814039192273,PASS
F4,simple_multimodal,GWO,2,1001,30,500,10,400.0,438.4035879858328,38.403587985832814,7643.351324453499,438.4035879858328,PASS
F4,simple_multimodal,GWO,3,1002,30,500,10,400.0,437.9566245467068,37.95662454670679,6465.74052369576,437.9566245467068,PASS
F4,simple_multimodal,GWO,4,1003,30,500,10,400.0,435.1620827900189,35.16208279001893,3152.167670352408,435.1620827900189,PASS
F4,simple_multimodal,GWO,5,1004,30,500,10,400.0,435.19848408207037,35.198484082070365,9854.009936369841,435.19848408207037,PASS
F4,simple_multimodal,GWO,6,1005,30,500,10,400.0,435.1813766254011,35.18137662540107,7308.3560264455145,435.1813766254011,PASS
F4,simple_multimodal,GWO,7,1006,30,500,10,400.0,434.7938930893047,34.793893089304675,5424.651741763584,434.7938930893047,PASS
F4,simple_multimodal,GWO,8,1007,30,500,10,400.0,435.3430891859329,35.34308918593291,6016.3066486279395,435.3430891859329,PASS
F4,simple_multimodal,GWO,9,1008,30,500,10,400.0,435.49893173120137,35.49893173120137,2978.686987118875,435.49893173120137,PASS
F4,simple_multimodal,GWO,10,1009,30,500,10,400.0,435.30646859989366,35.30646859989366,1071.1264793598257,435.30646859989366,PASS
F4,simple_multimodal,GWO,11,1010,30,500,10,400.0,435.89077504319846,35.89077504319846,8720.629198230441,435.89077504319846,PASS
F4,simple_multimodal,GWO,12,1011,30,500,10,400.0,434.9918483579662,34.991848357966205,3102.4891903072075,434.9918483579662,PASS
F4,simple_multimodal,GWO,13,1012,30,500,10,400.0,437.912612306003,37.912612306002984,5055.378279058493,437.912612306003,PASS
F4,simple_multimodal,GWO,14,1013,30,500,10,400.0,435.1878376822368,35.18783768223682,2394.624877096493,435.1878376822368,PASS
F4,simple_multimodal,GWO,15,1014,30,500,10,400.0,435.15604420585174,35.15604420585174,3163.6713093015364,435.15604420585174,PASS
F4,simple_multimodal,GWO,16,1015,30,500,10,400.0,436.34188902443304,36.341889024433044,7396.152296143029,436.34188902443304,PASS
F4,simple_multimodal,GWO,17,1016,30,500,10,400.0,435.91133854712996,35.91133854712996,4035.547477775086,435.91133854712996,PASS
F4,simple_multimodal,GWO,18,1017,30,500,10,400.0,435.17792112907614,35.17792112907614,2875.3776370195883,435.17792112907614,PASS
F4,simple_multimodal,GWO,19,1018,30,500,10,400.0,435.3899589837775,35.38995898377749,3500.442176169049,435.3899589837775,PASS
F4,simple_multimodal,GWO,20,1019,30,500,10,400.0,435.446240569485,35.446240569484985,2507.912111089776,435.446240569485,PASS
F4,simple_multimodal,GWO,21,1020,30,500,10,400.0,434.9727045075707,34.97270450757071,3041.9790004443,434.9727045075707,PASS
F4,simple_multimodal,GWO,22,1021,30,500,10,400.0,439.48792299924077,39.487922999240766,1511.901953138367,439.48792299924077,PASS
F4,simple_multimodal,GWO,23,1022,30,500,10,400.0,435.3185331373421,35.318533137342115,3903.150707073103,435.3185331373421,PASS
F4,simple_multimodal,GWO,24,1023,30,500,10,400.0,422.7604270377256,22.760427037725606,6851.650742432777,422.7604270377256,PASS
F4,simple_multimodal,GWO,25,1024,30,500,10,400.0,435.2865755035602,35.28657550356019,1952.7435711493592,435.2865755035602,PASS
F4,simple_multimodal,GWO,26,1025,30,500,10,400.0,410.3629104917298,10.362910491729792,6982.889665164403,410.3629104917298,PASS
F4,simple_multimodal,GWO,27,1026,30,500,10,400.0,435.2658054764606,35.26580547646063,4797.686028290339,435.2658054764606,PASS
F4,simple_multimodal,GWO,28,1027,30,500,10,400.0,438.6262599683988,38.62625996839881,5664.277117474654,438.6262599683988,PASS
F4,simple_multimodal,GWO,29,1028,30,500,10,400.0,435.74177792837037,35.74177792837037,6425.854076829275,435.74177792837037,PASS
F4,simple_multimodal,GWO,30,1029,30,500,10,400.0,437.95607996597926,37.95607996597926,7002.0233637893,437.95607996597926,PASS
