Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
SCHO,F4,15,1014,4024415,30,500,30,-100,100,0.0,0.0,77.5649543326395,0.0,2.0095290999888675,PASS
SCHO,F4,17,1016,4024417,30,500,30,-100,100,0.0,0.0,89.68075670875115,0.0,2.009005200001411,PASS
SCHO,F4,18,1017,4024418,30,500,30,-100,100,0.0,0.0,91.69265780583274,0.0,2.0209697999962373,PASS
SCHO,F4,16,1015,4024416,30,500,30,-100,100,0.0,0.0,89.52145242027729,0.0,2.0294914999976754,PASS
SCHO,F4,22,1021,4024422,30,500,30,-100,100,0.0,0.0,90.86947090420732,0.0,1.9926586000074167,PASS
SCHO,F4,19,1018,4024419,30,500,30,-100,100,0.0,0.0,87.81454527863241,0.0,2.078569300007075,PASS
SCHO,F4,20,1019,4024420,30,500,30,-100,100,0.0,0.0,89.14712458834947,0.0,2.0572743999946397,PASS
SCHO,F4,21,1020,4024421,30,500,30,-100,100,0.0,0.0,93.48016114980666,0.0,2.0870108000090113,PASS
SCHO,F4,24,1023,4024424,30,500,30,-100,100,0.0,0.0,86.34666057993036,0.0,2.033519000004162,PASS
SCHO,F4,26,1025,4024426,30,500,30,-100,100,0.0,0.0,92.17294370207554,0.0,2.0571893000014825,PASS
SCHO,F4,23,1022,4024423,30,500,30,-100,100,0.0,0.0,86.36772034124569,0.0,2.095716000010725,PASS
SCHO,F4,25,1024,4024425,30,500,30,-100,100,0.0,0.0,83.43944699892515,0.0,2.0832510000036564,PASS
SCHO,F4,28,1027,4024428,30,500,30,-100,100,0.0,0.0,88.89385763229512,0.0,1.9248509000026388,PASS
SCHO,F4,27,1026,4024427,30,500,30,-100,100,0.0,0.0,90.2554612114578,0.0,1.9624079999921378,PASS
SCHO,F4,29,1028,4024429,30,500,30,-100,100,0.0,0.0,88.97595126021793,0.0,1.962295899997116,PASS
SCHO,F4,30,1029,4024430,30,500,30,-100,100,0.0,0.0,90.25056319313495,0.0,2.0083653000037884,PASS
SCHO,F5,2,1001,4024502,30,500,30,-30,30,0.0,28.64230324415114,265509719.66763252,28.64230324415114,1.9994516000006115,PASS
SCHO,F5,3,1002,4024503,30,500,30,-30,30,0.0,26.711592204135197,290152790.99322855,26.711592204135197,1.9787880000076257,PASS
SCHO,F5,1,1000,4024501,30,500,30,-30,30,0.0,28.02289834298946,262803966.06144178,28.02289834298946,2.0666257000120822,PASS
SCHO,F5,4,1003,4024504,30,500,30,-30,30,0.0,28.826214399504863,314425104.8265708,28.826214399504863,2.043865999992704,PASS
SCHO,F5,5,1004,4024505,30,500,30,-30,30,0.0,28.804681130685424,264814459.6730534,28.804681130685424,1.9967288999905577,PASS
SCHO,F5,6,1005,4024506,30,500,30,-30,30,0.0,27.98605481071288,275607877.05815667,27.98605481071288,2.0669886999967275,PASS
SCHO,F5,7,1006,4024507,30,500,30,-30,30,0.0,28.824510933652114,275703968.057919,28.824510933652114,2.031145800006925,PASS
SCHO,F5,8,1007,4024508,30,500,30,-30,30,0.0,27.999375551779824,196990313.2842615,27.999375551779824,2.054395300001488,PASS
SCHO,F5,11,1010,4024511,30,500,30,-30,30,0.0,26.056079496446586,311741780.6244718,26.056079496446586,2.054941099995631,PASS
SCHO,F5,9,1008,4024509,30,500,30,-30,30,0.0,27.984903150885547,264277025.01725703,27.984903150885547,2.08687299999292,PASS
SCHO,F5,10,1009,4024510,30,500,30,-30,30,0.0,28.04127944557301,275312500.08404154,28.04127944557301,2.1354449999926146,PASS
SCHO,F5,12,1011,4024512,30,500,30,-30,30,0.0,28.657622386729578,135783553.73670316,28.657622386729578,2.13862070000323,PASS
SCHO,F5,16,1015,4024516,30,500,30,-30,30,0.0,27.14249923293043,230963403.05164534,27.14249923293043,2.006998400000157,PASS
SCHO,F5,13,1012,4024513,30,500,30,-30,30,0.0,28.98419468962295,223922765.9861003,28.98419468962295,2.0993943000066793,PASS
SCHO,F5,14,1013,4024514,30,500,30,-30,30,0.0,28.771111277971574,198137301.02750832,28.771111277971574,2.098518200000399,PASS
SCHO,F5,15,1014,4024515,30,500,30,-30,30,0.0,27.97953504492064,199986599.631898,27.97953504492064,2.0897181000036653,PASS
SCHO,F5,17,1016,4024517,30,500,30,-30,30,0.0,27.233797922112245,267563143.6435758,27.233797922112245,2.101716300006956,PASS
SCHO,F5,20,1019,4024520,30,500,30,-30,30,0.0,28.595332426036578,318067279.8984649,28.595332426036578,2.0979398999916157,PASS
SCHO,F5,19,1018,4024519,30,500,30,-30,30,0.0,28.866596212968567,235011607.0552513,28.866596212968567,2.1023381000122754,PASS
SCHO,F5,18,1017,4024518,30,500,30,-30,30,0.0,28.859025130353995,261605126.34257632,28.859025130353995,2.175837300004787,PASS
