Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
V1,F6,12,1011,4024612,30,500,30,0.10656426465133065,60343.443806650605,0.10656426465133065,1.7912480999948457,PASS
V1,F6,13,1012,4024613,30,500,30,0.05831247152398244,68881.92519101789,0.05831247152398244,1.78207200000179,PASS
V1,F6,14,1013,4024614,30,500,30,2.795625823702431,66078.30058116298,2.795625823702431,1.8030591999995522,PASS
V1,F6,17,1016,4024617,30,500,30,0.16096400271178393,73031.55585073962,0.16096400271178393,2.147258099997998,PASS
V1,F6,15,1014,4024615,30,500,30,0.11395224243169397,62157.94499673396,0.11395224243169397,2.2083816999947885,PASS
V1,F6,16,1015,4024616,30,500,30,0.09245704222953725,61089.234661411996,0.09245704222953725,2.1969323999946937,PASS
V1,F6,18,1017,4024618,30,500,30,0.24770452170318416,70606.59378046433,0.24770452170318416,2.185366800011252,PASS
V1,F6,19,1018,4024619,30,500,30,2.5154857621927746,59960.68287322056,2.5154857621927746,1.9212406000006013,PASS
V1,F6,21,1020,4024621,30,500,30,0.23981013849824578,81635.30658606326,0.23981013849824578,1.8916272999922512,PASS
V1,F6,20,1019,4024620,30,500,30,0.00040578070580927974,79344.06586895653,0.00040578070580927974,1.909425599995302,PASS
V1,F6,22,1021,4024622,30,500,30,1.0279552726750338,64215.54876603678,1.0279552726750338,1.9221813000040129,PASS
V1,F6,23,1022,4024623,30,500,30,0.01584607903515296,78086.57507584567,0.01584607903515296,1.7714254000020446,PASS
V1,F6,25,1024,4024625,30,500,30,0.01893394468252728,56465.69237297281,0.01893394468252728,1.786204899995937,PASS
V1,F6,24,1023,4024624,30,500,30,0.03744643051192537,72276.33926858637,0.03744643051192537,1.813165300001856,PASS
V1,F6,26,1025,4024626,30,500,30,0.0004023862139803313,67862.6591007802,0.0004023862139803313,1.7921021000074688,PASS
V1,F6,27,1026,4024627,30,500,30,1.4605680776787864,68320.91352360474,1.4605680776787864,1.7417122000042582,PASS
V1,F6,29,1028,4024629,30,500,30,0.003611737072860626,66095.4100418736,0.003611737072860626,1.7636319000012008,PASS
V1,F6,28,1027,4024628,30,500,30,0.016237240788757597,71067.99746945646,0.016237240788757597,1.8303211999882478,PASS
V1,F6,30,1029,4024630,30,500,30,0.0016868334238646686,77102.38991476683,0.0016868334238646686,1.8423129000002518,PASS
V1,F7,1,1000,4024701,30,500,30,9.45915362848826e-06,132.24256505296452,9.45915362848826e-06,1.7206010999943828,PASS
V1,F7,2,1001,4024702,30,500,30,6.837286203809079e-05,129.07738590868695,6.837286203809079e-05,1.7148514000000432,PASS
V1,F7,3,1002,4024703,30,500,30,1.6784381334677967e-05,106.8866083511403,1.6784381334677967e-05,1.6739124000014272,PASS
V1,F7,4,1003,4024704,30,500,30,7.080694142436172e-05,120.0123686763614,7.080694142436172e-05,1.7533480999991298,PASS
V1,F7,8,1007,4024708,30,500,30,7.849740482449914e-05,89.84776718932376,7.849740482449914e-05,1.742072699998971,PASS
V1,F7,6,1005,4024706,30,500,30,0.0002044215615785161,95.90377798740067,0.0002044215615785161,1.7682394000003114,PASS
V1,F7,5,1004,4024705,30,500,30,0.0002432252979321925,128.77654886785405,0.0002432252979321925,1.8084276000008686,PASS
V1,F7,7,1006,4024707,30,500,30,8.514306014872908e-05,109.43532753152996,8.514306014872908e-05,1.8035128000046825,PASS
V1,F7,10,1009,4024710,30,500,30,8.368433869609948e-05,124.61338032043707,8.368433869609948e-05,1.7551007000001846,PASS
V1,F7,9,1008,4024709,30,500,30,1.5447923321199042e-05,112.92200132609992,1.5447923321199042e-05,1.8278535999997985,PASS
V1,F7,11,1010,4024711,30,500,30,0.00021914311776938256,145.50908467686799,0.00021914311776938256,1.8124906000011833,PASS
V1,F7,12,1011,4024712,30,500,30,0.00014672705711848977,88.02744560759177,0.00014672705711848977,1.8103337000065949,PASS
V1,F7,13,1012,4024713,30,500,30,4.457786551659293e-05,109.2388515683827,4.457786551659293e-05,1.7230176000011852,PASS
V1,F7,16,1015,4024716,30,500,30,0.00014586593514698265,118.50476153098273,0.00014586593514698265,1.710637800002587,PASS
V1,F7,14,1013,4024714,30,500,30,2.8207178147332534e-05,125.18640614897903,2.8207178147332534e-05,1.8252085000131046,PASS
V1,F7,15,1014,4024715,30,500,30,4.9591094465339935e-06,99.80960290906447,4.9591094465339935e-06,1.8172510000003967,PASS
V1,F7,18,1017,4024718,30,500,30,0.00021633445300472986,146.54341813360404,0.00021633445300472986,1.7163881000014953,PASS
V1,F7,20,1019,4024720,30,500,30,2.5783503506016103e-05,134.11199381657298,2.5783503506016103e-05,1.6799115000030724,PASS
V1,F7,17,1016,4024717,30,500,30,0.00057313278933524,142.86321654785507,0.00057313278933524,1.8141880000039237,PASS
V1,F7,19,1018,4024719,30,500,30,0.00025940679644620435,129.37924729813335,0.00025940679644620435,1.7234695000079228,PASS
V1,F7,21,1020,4024721,30,500,30,7.261338490871516e-05,134.48686620550905,7.261338490871516e-05,2.0623414000001503,PASS
V1,F7,24,1023,4024724,30,500,30,0.00013413908657777807,134.83866130923477,0.00013413908657777807,2.0599951000040164,PASS
V1,F7,23,1022,4024723,30,500,30,5.6976333538738544e-05,133.0436737145348,5.6976333538738544e-05,2.1055071000009775,PASS
V1,F7,22,1021,4024722,30,500,30,7.447946452421306e-05,97.89929812706661,7.447946452421306e-05,2.143470299997716,PASS
V1,F7,25,1024,4024725,30,500,30,0.00018987324554264884,105.12427574420931,0.00018987324554264884,2.1232693000056315,PASS
V1,F7,26,1025,4024726,30,500,30,6.071988832667685e-05,144.99096006092753,6.071988832667685e-05,2.1965113999904133,PASS
V1,F7,27,1026,4024727,30,500,30,0.00019470491795281486,135.53438780914385,0.00019470491795281486,2.228756600001361,PASS
V1,F7,28,1027,4024728,30,500,30,3.238470623567746e-05,93.82607923366973,3.238470623567746e-05,2.240885099992738,PASS
V1,F8,1,1000,4024801,30,500,30,-5982.562320043999,-2451.876014434408,-5982.562320043999,2.1564325999934226,PASS
V1,F8,2,1001,4024802,30,500,30,-5299.129330283742,-2690.889994276502,-5299.129330283742,2.188943699991796,PASS
V1,F7,29,1028,4024729,30,500,30,1.0751409406872803e-05,162.80296180734086,1.0751409406872803e-05,2.1888017999881413,PASS
V1,F7,30,1029,4024730,30,500,30,0.000128178818000646,130.6949254804745,0.000128178818000646,2.1915757000097074,PASS
V1,F8,3,1002,4024803,30,500,30,-5143.470475311303,-1692.1826887752877,-5143.470475311303,2.310907999999472,PASS
V1,F8,4,1003,4024804,30,500,30,-5224.854867688941,-2110.3517025625324,-5224.854867688941,2.29560370001127,PASS
V1,F8,5,1004,4024805,30,500,30,-8925.278999167782,-1605.4114947545195,-8925.278999167782,2.3235299000079976,PASS
V1,F8,6,1005,4024806,30,500,30,-12422.952980293492,-3595.6367869269293,-12422.952980293492,2.3821570000000065,PASS
V1,F8,7,1006,4024807,30,500,30,-5866.174835715812,-1885.772866590057,-5866.174835715812,1.7652610000077402,PASS
V1,F8,8,1007,4024808,30,500,30,-7771.6817476047745,-1726.090940377079,-7771.6817476047745,1.8053056999924593,PASS
V1,F8,9,1008,4024809,30,500,30,-5828.450528089994,-2337.3316623373657,-5828.450528089994,1.8284121999895433,PASS
V1,F8,10,1009,4024810,30,500,30,-6050.995614904377,-2623.8232741546635,-6050.995614904377,1.865001799989841,PASS
V1,F8,11,1010,4024811,30,500,30,-5260.440113660806,-1813.4049915384448,-5260.440113660806,2.058074900007341,PASS
V1,F8,13,1012,4024813,30,500,30,-5758.444035915572,-2026.2048410858288,-5758.444035915572,2.151654300003429,PASS
V1,F8,14,1013,4024814,30,500,30,-12532.351636176289,-1526.011739420307,-12532.351636176289,2.1200945999880787,PASS
V1,F8,12,1011,4024812,30,500,30,-5465.931590285007,-2334.5511967809016,-5465.931590285007,2.1937174999911804,PASS
V1,F8,15,1014,4024815,30,500,30,-5179.388925026719,-1577.9245638457974,-5179.388925026719,1.82696359998954,PASS
V1,F8,17,1016,4024817,30,500,30,-11593.090245401292,-3022.774183385613,-11593.090245401292,1.8113766000024043,PASS
V1,F8,18,1017,4024818,30,500,30,-11559.436057660389,-1613.727286315913,-11559.436057660389,1.8351714000018546,PASS
V1,F8,16,1015,4024816,30,500,30,-5930.4837620858325,-1774.4957618865303,-5930.4837620858325,1.8614185999904294,PASS
V1,F8,19,1018,4024819,30,500,30,-4773.656853662033,-2231.4411955724777,-4773.656853662033,1.984994500002358,PASS
V1,F8,20,1019,4024820,30,500,30,-4797.520034485213,-1937.2091609434265,-4797.520034485213,1.9807087000081083,PASS
V1,F8,22,1021,4024822,30,500,30,-5615.930040884716,-1439.3070195018026,-5615.930040884716,2.073986999996123,PASS
V1,F8,21,1020,4024821,30,500,30,-5981.558155322325,-2248.510909834675,-5981.558155322325,2.0886085999954958,PASS
V1,F8,26,1025,4024826,30,500,30,-7279.291487252793,-1895.6942306135086,-7279.291487252793,1.8541084000025876,PASS
V1,F8,25,1024,4024825,30,500,30,-5858.642743320145,-2207.6192588415524,-5858.642743320145,1.856719500006875,PASS
V1,F8,24,1023,4024824,30,500,30,-6549.306850557432,-1788.751013337049,-6549.306850557432,1.875160900002811,PASS
V1,F8,23,1022,4024823,30,500,30,-5435.609070757397,-2698.531601043908,-5435.609070757397,1.8798507000028621,PASS
V1,F8,29,1028,4024829,30,500,30,-7819.205789792977,-1854.1744144476797,-7819.205789792977,2.023311700002523,PASS
V1,F8,27,1026,4024827,30,500,30,-4098.901904184803,-1646.4051333176737,-4098.901904184803,2.1051087000087136,PASS
V1,F8,30,1029,4024830,30,500,30,-8419.326566114309,-1702.2535651780167,-8419.326566114309,2.1040242000017315,PASS
V1,F8,28,1027,4024828,30,500,30,-12225.024652929811,-1823.0140943969723,-12225.024652929811,2.1263175000058254,PASS
V1,F9,4,1003,4024904,30,500,30,0.0,439.61790434394305,0.0,1.8340756000106921,PASS
V1,F9,1,1000,4024901,30,500,30,0.0,464.87493101018356,0.0,1.858463099997607,PASS
V1,F9,2,1001,4024902,30,500,30,0.0,384.5497490364953,0.0,1.859971099998802,PASS
V1,F9,3,1002,4024903,30,500,30,0.0,424.39485150190137,0.0,1.8849988000001758,PASS
V1,F9,7,1006,4024907,30,500,30,0.0,431.59183701137,0.0,1.8950057000038214,PASS
V1,F9,6,1005,4024906,30,500,30,0.0,439.91283939992803,0.0,2.0346835999953328,PASS
V1,F9,8,1007,4024908,30,500,30,0.0,365.8391088248434,0.0,2.0527378999977373,PASS
