Function,Canonical,Variant,Run,Seed,Population,MaxIter,Dimension,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
F28,CF5,source_faithful,20,1019,30,500,10,-5.0,5.0,0.0,5.722820148692862,600.8963608465455,5.722820148692862,4.848414399995818,PASS
F28,CF5,source_faithful,21,1020,30,500,10,-5.0,5.0,0.0,167.56259076596436,845.81114109128,167.56259076596436,4.730700899992371,PASS
F28,CF5,source_faithful,22,1021,30,500,10,-5.0,5.0,0.0,515.9221051319934,733.3736896623814,515.9221051319934,6.535748800000874,PASS
F28,CF5,source_faithful,23,1022,30,500,10,-5.0,5.0,0.0,108.71262288597403,894.1165594066554,108.71262288597403,4.554780499995104,PASS
F28,CF5,source_faithful,24,1023,30,500,10,-5.0,5.0,0.0,153.6440950853905,1100.3235397612934,153.6440950853905,4.521877199993469,PASS
F28,CF5,source_faithful,25,1024,30,500,10,-5.0,5.0,0.0,3.13801572356577,843.8028977245361,3.13801572356577,4.8953873999998905,PASS
F28,CF5,source_faithful,26,1025,30,500,10,-5.0,5.0,0.0,3.2664106516077993,671.9680099766284,3.2664106516077993,4.712992499989923,PASS
F28,CF5,source_faithful,27,1026,30,500,10,-5.0,5.0,0.0,13.510706115547368,586.938166160581,13.510706115547368,4.625628900001175,PASS
F28,CF5,source_faithful,28,1027,30,500,10,-5.0,5.0,0.0,17.027874988631552,739.7833381960347,17.027874988631552,4.935724900002242,PASS
F28,CF5,source_faithful,29,1028,30,500,10,-5.0,5.0,0.0,116.22464246413271,1044.9579335274734,116.22464246413271,4.754839800007176,PASS
F28,CF5,source_faithful,30,1029,30,500,10,-5.0,5.0,0.0,20.798911090581626,334.90551577973093,20.798911090581626,4.769668200009619,PASS
F29,CF6,source_faithful,1,1000,30,500,10,-5.0,5.0,0.0,502.8799739568084,991.0325899633057,502.8799739568084,4.9521763999946415,PASS
F29,CF6,source_faithful,2,1001,30,500,10,-5.0,5.0,0.0,902.8804670587301,965.4193207328543,902.8804670587301,5.119580400001723,PASS
F29,CF6,source_faithful,3,1002,30,500,10,-5.0,5.0,0.0,903.2222655348361,918.1011458705837,903.2222655348361,5.157390699998359,PASS
F29,CF6,source_faithful,4,1003,30,500,10,-5.0,5.0,0.0,903.4893176252475,989.8947985855062,903.4893176252475,6.919836000000942,PASS
F29,CF6,source_faithful,5,1004,30,500,10,-5.0,5.0,0.0,903.3721568842842,966.9069750654761,903.3721568842842,4.884467199997744,PASS
F29,CF6,source_faithful,6,1005,30,500,10,-5.0,5.0,0.0,903.7484618212932,967.8712120131802,903.7484618212932,4.779704900007346,PASS
F29,CF6,source_faithful,7,1006,30,500,10,-5.0,5.0,0.0,808.68003193419,953.5930466569943,808.68003193419,5.03055179999501,PASS
F29,CF6,source_faithful,8,1007,30,500,10,-5.0,5.0,0.0,907.3616225029748,1001.6035830580016,907.3616225029748,4.841219800000545,PASS
F29,CF6,source_faithful,9,1008,30,500,10,-5.0,5.0,0.0,501.252994927566,961.4522227157249,501.252994927566,4.758760999990045,PASS
F29,CF6,source_faithful,10,1009,30,500,10,-5.0,5.0,0.0,903.1617559878201,951.8850078304343,903.1617559878201,4.927784500003327,PASS
F29,CF6,source_faithful,11,1010,30,500,10,-5.0,5.0,0.0,902.3335472217641,976.5720296974873,902.3335472217641,4.687243300009868,PASS
F29,CF6,source_faithful,12,1011,30,500,10,-5.0,5.0,0.0,904.2651886661184,1020.0089545965751,904.2651886661184,4.7927951000019675,PASS
F29,CF6,source_faithful,13,1012,30,500,10,-5.0,5.0,0.0,902.700883749128,975.8681121300699,902.700883749128,5.03555659999256,PASS
F29,CF6,source_faithful,14,1013,30,500,10,-5.0,5.0,0.0,906.0834947532761,982.7225596519248,906.0834947532761,4.539333599997917,PASS
F29,CF6,source_faithful,15,1014,30,500,10,-5.0,5.0,0.0,902.45109315674,939.5159395016657,902.45109315674,4.709515499998815,PASS
F29,CF6,source_faithful,16,1015,30,500,10,-5.0,5.0,0.0,904.8916530975439,968.8163596827151,904.8916530975439,6.53636589999951,PASS
F29,CF6,source_faithful,17,1016,30,500,10,-5.0,5.0,0.0,903.3418970969259,964.7809445638945,903.3418970969259,4.515579400002025,PASS
F29,CF6,source_faithful,18,1017,30,500,10,-5.0,5.0,0.0,902.8058148902044,958.658359279555,902.8058148902044,4.530857999998261,PASS
F29,CF6,source_faithful,19,1018,30,500,10,-5.0,5.0,0.0,903.5308340014913,960.3059960510583,903.5308340014913,4.833458799999789,PASS
F29,CF6,source_faithful,20,1019,30,500,10,-5.0,5.0,0.0,904.3218217483798,954.0799168261345,904.3218217483798,4.509769700001925,PASS
F29,CF6,source_faithful,21,1020,30,500,10,-5.0,5.0,0.0,904.3863337418727,992.3686656347845,904.3863337418727,4.484597600006964,PASS
F29,CF6,source_faithful,22,1021,30,500,10,-5.0,5.0,0.0,902.7880751045299,954.112481060954,902.7880751045299,4.662872299988521,PASS
F29,CF6,source_faithful,23,1022,30,500,10,-5.0,5.0,0.0,903.6327751271513,997.4385836994263,903.6327751271513,5.054529899993213,PASS
F29,CF6,source_faithful,24,1023,30,500,10,-5.0,5.0,0.0,506.12444811359336,983.4031184561512,506.12444811359336,4.699705300008645,PASS
F29,CF6,source_faithful,25,1024,30,500,10,-5.0,5.0,0.0,904.820630372501,1025.0486731161682,904.820630372501,4.609987000003457,PASS
F29,CF6,source_faithful,26,1025,30,500,10,-5.0,5.0,0.0,905.9593455057282,1019.8790295108032,905.9593455057282,5.341620699997293,PASS
F29,CF6,source_faithful,27,1026,30,500,10,-5.0,5.0,0.0,903.4305424389647,978.8985434439226,903.4305424389647,5.300107200004277,PASS
F29,CF6,source_faithful,28,1027,30,500,10,-5.0,5.0,0.0,501.9521478138317,932.9585740346531,501.9521478138317,6.661747499994817,PASS
F29,CF6,source_faithful,29,1028,30,500,10,-5.0,5.0,0.0,903.5836847121825,997.3244698707997,903.5836847121825,4.6471579000062775,PASS
F29,CF6,source_faithful,30,1029,30,500,10,-5.0,5.0,0.0,902.8939033939812,935.4889090062335,902.8939033939812,4.548078299994813,PASS
